Systems,ΔGOOH*,ΔGO*,ΔGOH*,ΔG(ⅰ),ΔG(ⅱ),ΔG(ⅲ),ΔG(ⅳ),UORR,RDS
CPNB-Zn,4.074,2.552,0.543,0.846,1.522,2.009,0.543,0.543,4
CPNB-Zr,1.981,-0.163,-1.376,2.939,2.144,1.213,-1.376,-1.376,4
CPNO-Ag,3.672,2.663,0.195,1.248,1.009,2.468,0.195,0.195,4
CPNO-Au,3.208,1.8,-0.397,1.712,1.408,2.196,-0.397,-0.397,4
CPNO-Cd,4.423,3.171,0.805,0.497,1.253,2.366,0.805,0.497,1
CPNO-Co,3.71,1.485,0.553,1.21,2.226,0.932,0.553,0.553,4
CPNO-Cr,2.691,-0.541,-0.645,2.229,3.232,0.104,-0.645,-0.645,4
CPNO-Cu,3.94,2.74,0.449,0.98,1.2,2.291,0.449,0.449,4
CPNO-Fe,3.238,0.567,-0.148,1.682,2.671,0.714,-0.148,-0.148,4
CPNO-Hg,5.431,3.986,1.904,-0.511,1.444,2.083,1.904,-0.511,1
CPNO-Ir,3.223,0.705,0.385,1.697,2.518,0.32,0.385,0.32,3
CPNO-Mn,3.109,0.453,-0.309,1.811,2.657,0.762,-0.309,-0.309,4
CPNO-Pd,4.089,2.622,0.636,0.831,1.467,1.986,0.636,0.636,4
CPNO-Pt,4.632,1.349,0.11,0.288,3.282,1.239,0.11,0.11,4
CPNO-Rh,3.202,1.486,0.12,1.718,1.715,1.367,0.12,0.12,4
CPNO-Ru,3.199,0.154,0.021,1.721,3.045,0.133,0.021,0.021,4
CPNO-Sc,2.018,-0.122,-1.331,2.902,2.14,1.21,-1.331,-1.331,4
CPNO-Y,2.06,0.067,-1.377,2.86,1.992,1.444,-1.377,-1.377,4
CPNO-Zn,3.347,2.118,-0.232,1.573,1.229,2.35,-0.232,-0.232,4
CPNS-Ag,3.796,2.746,0.305,1.124,1.05,2.441,0.305,0.305,4
CPNS-Fe,3.754,0.979,0.262,1.166,2.775,0.718,0.262,0.262,4
CPNS-Hg,5.486,4.173,1.883,-0.566,1.313,2.29,1.883,-0.566,1
CPNS-Ni,4.925,3.338,1.583,-0.005,1.587,1.755,1.583,-0.005,1
CPNS-Pd,4.966,3.577,1.723,-0.046,1.389,1.854,1.723,-0.046,1
CPNS-Pt,3.549,1.22,-0.008,1.371,2.329,1.228,-0.008,-0.008,4
CPNS-Rh,3.655,1.873,0.526,1.265,1.782,1.347,0.526,0.526,4
CPNS-Ru,3.046,0.503,0.179,1.874,2.542,0.324,0.179,0.179,4
CPNS-Sc,2.295,1.045,-1.154,2.625,1.25,2.199,-1.154,-1.154,4
CPNS-Y,2.309,1.092,-1.187,2.611,1.217,2.279,-1.187,-1.187,4
CPNS-Zn,3.716,2.699,0.08,1.204,1.016,2.619,0.08,0.08,4
CPNS-Zr,1.491,-1.136,-1.98,3.429,2.626,0.844,-1.98,-1.98,4
CNBS-Au,4.175,3.218,0.794,0.745,0.957,2.424,0.794,0.745,1
CNBS-Cd,3.637,2.36,-0.065,1.283,1.277,2.424,-0.065,-0.065,4
CNBS-Cr,2.315,-0.948,-0.95,2.605,3.263,0.002,-0.95,-0.95,4
CNBS-Cu,5.102,1.627,1.234,-0.182,3.475,0.393,1.234,-0.182,1
CNBS-Fe,2.908,0.21,-0.378,2.012,2.699,0.588,-0.378,-0.378,4
CNBS-Hf,1.72,-1.123,-2.083,3.2,2.843,0.96,-2.083,-2.083,4
CNBS-Hg,5.994,2.759,0.366,-1.074,3.235,2.393,0.366,-1.074,1
CNBS-Ir,3.317,0.511,-0.204,1.603,2.806,0.715,-0.204,-0.204,4
CNBS-Mn,2.877,-0.154,-0.577,2.043,3.031,0.423,-0.577,-0.577,4
CNBS-Nb,1.46,-1.63,-1.888,3.46,3.09,0.257,-1.888,-1.888,4
CNBS-Ni,3.983,2.37,1.15,0.937,1.613,1.22,1.15,0.937,1
CNBS-Pd,3.939,2.392,0.707,0.981,1.547,1.685,0.707,0.707,4
CNBS-Pt,4.044,2.112,0.682,0.876,1.932,1.429,0.682,0.682,4
CNBS-Rh,3.204,1.157,0.059,1.716,2.047,1.097,0.059,0.059,4
CNBS-Ru,3.089,-0.134,-0.294,1.831,3.223,0.16,-0.294,-0.294,4
CNBS-Ta,1.214,-1.983,-2.304,3.706,3.197,0.321,-2.304,-2.304,4
CNBS-Ti,2.009,-0.895,-1.359,2.911,2.904,0.464,-1.359,-1.359,4
CNBS-V,1.858,-1.346,-1.524,3.062,3.204,0.178,-1.524,-1.524,4
CNBS-Zn,3.573,2.393,-0.128,1.347,1.18,2.521,-0.128,-0.128,4
